#Time	NodeType	NodeID	X	Y	Z
0.5	UE	41	1627.01	2375	1.5
0.5	UE	42	1777.1	2375	1.5
0.5	UE	43	1925	2376.5	1.5
0.5	UE	44	2075	2375	1.5
0.5	UE	45	2226.25	2375.5	1.5
0.5	UE	46	2376.11	2376.66	1.5
0.5	UE	47	1744.86	2257.14	1.5
0.5	UE	48	1873.53	2257.14	1.5
0.5	UE	49	2000	2258.64	1.5
0.5	UE	50	2128.57	2257.14	1.5
0.5	UE	51	2258.39	2257.64	1.5
0.5	UE	52	2387.38	2258.25	1.5
0.5	UE	53	1616.35	2385.71	1.5
0.5	UE	54	1744.96	2385.71	1.5
0.5	UE	55	1871.43	2387.21	1.5
0.5	UE	56	2000	2385.71	1.5
0.5	UE	57	2129.82	2386.21	1.5
0.5	UE	58	2258.25	2387.38	1.5
0.5	UE	59	2387.89	2385.71	1.5
0.5	UE	60	1720.85	2281.25	1.5
0.5	UE	61	1831.25	2282.75	1.5
0.5	UE	62	1943.75	2281.25	1.5
0.5	UE	63	2057.5	2281.75	1.5
0.5	UE	64	2170.41	2282.36	1.5
0.5	UE	65	2283.58	2281.25	1.5
0.5	UE	66	2395.85	2281.25	1.5
0.5	UE	67	1606.25	2395.25	1.5
0.5	UE	68	1718.75	2393.75	1.5
0.5	UE	69	1832.5	2394.25	1.5
0.5	UE	70	1944.86	2395.41	1.5
0.5	UE	71	2058.77	2393.75	1.5
0.5	UE	72	2170.85	2393.75	1.5
0.5	UE	73	2281.25	2395.25	1.5
